Datetime,Tweet Id,Text,Username
2021-10-10 23:39:02+00:00,1447345961961918468,Biden COVID China Coverup Trump Stands w Judicial Watch! &amp; Whistleblower... https://t.co/KkPYs8BVk0 via @YouTube,acc52ten
2021-10-10 23:37:27+00:00,1447345564455161860,‘It wasn’t just Russia disinformation’: DHS whistleblower explains how Trump muzzled intel https://t.co/Eca8hJqUba,mickivoss
2021-10-10 23:36:13+00:00,1447345255402123266,"@LifeWithJohn @michele_mattea Magazine ""Whistleblower"" which is her source of information.

""Whistleblower"" looks like a far-right french magazine promoting conspiracy theories.

The ""theorists"" like that word, ""whitleblower"", and want to appropriate it.",Mary_Canada13
2021-10-10 23:35:34+00:00,1447345091689914368,"Someone needs to fact check the fact checkers. How many have figured out that Whistleblower Frances Haugen is a fake whistleblower funded by CNN. 

https://t.co/U3oD7OzVLJ",scluff960
2021-10-10 23:34:36+00:00,1447344847925530631,BOMBSHELL! Chinese Whistleblower Releases Video and Photos of Counterfeit Ballot Printing Operations https://t.co/xC75CLz4a8,RedHatty
2021-10-10 23:34:35+00:00,1447344844205137922,Facebook 'whistleblower' worked for unit that censored Hunter Biden laptop story https://t.co/4CQK3p9Bf7,Sarge1208
2021-10-10 23:34:11+00:00,1447344739955748869,"POLITICO: Whistleblower Rebukes 2 Police Leaders for Jan. 6 Response

The whistleblower says that former acting chief #YoganandaPittman lied to Congress about an intelligence report Capitol Police received before that day's riot...

https://t.co/5uydgNMYLo",GetTheDailyDirt
2021-10-10 23:33:33+00:00,1447344584401559553,"Thinking today about how Frances Haugen consulted her mother, an Episcopal priest, before she became the Facebook whistleblower https://t.co/YgI0XyA2L1",harrisonstephen
2021-10-10 23:32:34+00:00,1447344334689480709,"Lol whistleblower 
https://t.co/YFZn8fJTTM",JaredoTexas
2021-10-10 23:32:23+00:00,1447344289030164482,"#Pfizer whistleblower “termination being processed”
#COVID19 #vaccines #Vaccine #Vaccination #MandatoryVaccination #VaccinePassport https://t.co/vTVtG2me3R",Gtv_Luna
2021-10-10 23:32:13+00:00,1447344247431213056,"pfizer whistleblower “termination being processed” 
https://t.co/fc2dMTKpvo",starstuded11
2021-10-10 23:32:00+00:00,1447344190707277830,who gets to be a whistleblower and who doesn’t? white supremacy really is a terrible drug https://t.co/QGOtYLCDjp,dvdty
2021-10-10 23:31:40+00:00,1447344109946032128,"@GERONursing @paula_span My aunt was 72yo, The cops arrived to remove the whistleblower and  they refused to go check on my aunt, the whistleblower called my mom to tell about the abuse. The staff took my aunt’s cell phone and she was dead 2 days after the cops refused to check on her",Prettygal1948
2021-10-10 23:31:14+00:00,1447343999832973321,"Unwoke Weekly: Fake Whistleblower, Jessica Wilson, &amp; Vaccine Lobbyists https://t.co/1z9csIyLyS",16rock_rock
2021-10-10 23:31:11+00:00,1447343984981028864,Tonight You Meet a Real Whistleblower... From Pharmaceutical Giant Pfize... https://t.co/kvab6TYxVb via @YouTube,tommytatumnews
2021-10-10 23:29:54+00:00,1447343663235874820,Frances Haugen: The Facebook Whistleblower by @ritholtz https://t.co/7gGUookQNF,MainandWall
2021-10-10 23:29:46+00:00,1447343631040499714,"It appears Facebook is getting a taste of it’s own medicine.  They allow intimidating Posts but removes people for violating their community strds.  Now, Whistleblowers are calling them out!  About time !",blavkburn
2021-10-10 23:28:12+00:00,1447343236419366914,Facebook whistleblower Haugens’ historic Google patent application may raise eyebrows https://t.co/fn2uPPuS36,ExBulletinUk
2021-10-10 23:28:10+00:00,1447343226533330944,Whistleblower Report Reveals How BAT Has Been Corruptly Influencing To Undermine Tobacco Control Efforts - https://t.co/zjyr6OcGxu,kenyan_digest
2021-10-10 23:28:06+00:00,1447343209001074689,"Of course I couldn't convince any of my family members to not take the jab.

First week after the jab my mom (73) had clots in her legs.
She's now back in chemo. Fully vaxxed

My sister (55) has had at least 3, no problems whatsoever.

We need more whistleblowers to come forward.",IWA2029itstarts
2021-10-10 23:27:00+00:00,1447342932898435072,WOW: Facebook Whistleblower is a Leftist Activist Represented by Lawyers of Trump Impeachment Whistleblower https://t.co/BxP9cx3euM,RealMattCouch
2021-10-10 23:26:49+00:00,1447342888283787271,"https://t.co/OMIfblRnGP
Biden COVID China Coverup Trump Stands w Judicial Watch! &amp; Whistleblower Exposes Secret CRT Doc",RuttenWillem
2021-10-10 23:25:54+00:00,1447342659232690180,Hospital is lying about bed shortage: Whistleblower nurse fired for refusing COVID shot - LifeSite https://t.co/T2CI5VPvZV,drabtkk
2021-10-10 23:25:43+00:00,1447342611753172993,Facebook whistleblower testimony should prompt new oversight – Schiff https://t.co/htPLBcz8XV,samiaji
2021-10-10 23:24:01+00:00,1447342181988118529,Facebook whistleblower is weighing on company's stock price (@brianstelter @sarafischer - @CNNReliable) https://t.co/98Zf21xwFQ,MediaREDEF
2021-10-10 23:23:13+00:00,1447341983635177478,Remember last week when MSM tried to plant a fake “whistleblower” all over the news the day before project veritas released a video of an actual whistleblower 😂😂😂😂,albertanbeech
2021-10-10 23:22:49+00:00,1447341883206811648,"months later when a whistleblower, Tim Duncan, the courageous whistle-blower who obtained these documents would have to shape them in 3/4",robohorgan
2021-10-10 23:21:48+00:00,1447341625244532740,"Facebook ‘Operating in the Shadows,’ Whistleblower Says https://t.co/WgtnkUz6ZP",livdose
2021-10-10 23:21:13+00:00,1447341479169441792,Facebook NEED'S to be broken up. They are paying whistleblowers to create narratives in favor of an UN-constrained Facebook. https://t.co/J4nTWrrbp9,dedes016
2021-10-10 23:21:10+00:00,1447341467861725192,Facebook 'Whistleblower' Frances Haugen Claims No One Noticed Her Browsing Sensitive Company Documents https://t.co/Jx8fLNBRku via @breitbartnews,antonsheker
2021-10-10 23:20:41+00:00,1447341345723625475,"Tomorrow’s @digitaldivepod episode drops at 7AM central and I think it’s a really good one:)

It’s a breakdown of the Facebook whistleblower trial…I’m kinda in the target demo they are focusing on in the trial, so we spend a good portion of the ep talking about mental health 1/2",NBTJacklyn
2021-10-10 23:20:08+00:00,1447341205923065856,Facebook: Nick Clegg avoids questions on whistleblower Haugen’s testimony - The Guardian https://t.co/J3hwt1Wu3D,HIREMAIDEA
2021-10-10 23:20:06+00:00,1447341198339764228,Facebook: Nick Clegg avoids questions on whistleblower Haugen’s testimony - The Guardian https://t.co/seWCQ6mMbX,TheRadioTFI
2021-10-10 23:20:05+00:00,1447341193264721924,#FacebookNickCleggUSnewsTechnologyWorldnews Facebook: Nick Clegg avoids questions on whistleblower Haugen’s testimony - The Guardian https://t.co/77ucJ7wVxt,akbarth3great
2021-10-10 23:19:04+00:00,1447340939416985602,"@oJiffy_ Whistleblowers from Victoria Police have been coming out recently. It really is that bad. I don't care what their emergency justification is, what is happening is not alright and should never be. There will be a reckoning and all will be held accountable in time.",Iove_crows
2021-10-10 23:17:41+00:00,1447340588559478784,"@lovelylady1008 @RealCandaceO One of the whistleblower nurses reported that whenever she suspected a patient’s bad reaction to the “vaccine”, the doctor on duty would shut her down and not allow her to say it. I think it was a Project Veritas video.",CoolJewel_5
2021-10-10 23:15:01+00:00,1447339917843976194,"A whistleblower has alleged cash raised at fundraisers organised by federal MP Anthony Byrne was stored in his electorate office and used to pay for ALP memberships.
https://t.co/MTPloClJtb",theheraldsun
2021-10-10 23:15:01+00:00,1447339916959047681,Facebook whistleblower is weighing on company's stock price (@brianstelter @sarafischer - @CNNReliable) https://t.co/uoSnYIZnU0,TechREDEF
2021-10-10 23:14:58+00:00,1447339907903483905,"Who is Facebook whistleblower Frances Haugen? via @FT
 https://t.co/AnW22NWE72",AlexChowStuart
2021-10-10 23:13:31+00:00,1447339539207438337,"A Real Facebook Whistleblower Steps Out Exposing #facebookwhistleblower Haugen She’s a Deep State Stooge’

https://t.co/aFRmewD2N5",RedPillLaredo
2021-10-10 23:13:27+00:00,1447339523638243330,🚨 | NEW: Facebook: Nick Clegg avoids questions on whistleblower Haugen’s testimony #news #newsalert #newsupdates https://t.co/bc9gdQJ6ea,SeamlessDaily
2021-10-10 23:12:44+00:00,1447339345346662400,Is now the time for Mark Zuckerberg to face the music? https://t.co/SLrA7yaVZk OPINION: I think the whistleblower testimony is utter nonsense. This and similar stories are an underhanded way to PROMOTE CENSORSHIP. It is part of big government socialism.,DubickiWarner
2021-10-10 23:12:42+00:00,1447339334399631361,'SNL' has the Facebook whistleblower help Congress understand social media - CNN https://t.co/huaArFQx4W via @GoogleNews,zg4ever
2021-10-10 23:12:04+00:00,1447339177482149890,"#Chemtrails, #GeoEngineering, #Haarp, etc are going on for decades and people are sleeping despite whistleblowers exposing them https://t.co/gtXmQkLWwE. #Covid19, #ClimateChange, #GlobalWarming, etc hoaxes are part of these inhuman crimes says @IMPraveenDalal. #DigitalIndia",AadhaarLies
2021-10-10 23:12:00+00:00,1447339158079524873,"No evidence that #Whistleblower and Iowa native #FrancesHaugen was planted by #Facebook https://t.co/gIBpglbYGh 
  #technology #facts @60Minutes",PolitiFactIowa
2021-10-10 23:11:45+00:00,1447339098146934787,"Facebook Introduces New Kid Controls After Whistleblower Firestorm
https://t.co/5x5sYR93Ov https://t.co/e4olDj3b9B",air1news
2021-10-10 23:11:03+00:00,1447338919591391234,"@AriB2783 @catelizlouise @JamesMelville That's not what 30,000 dead people in the reporting systems would say. These numbers are by all standards underreported.

Keep your beliefs (as science it is not), adhere to the Church of Covid, I will be listening to what whistleblowers and people who's loved ones died said.",imkyuti
2021-10-10 23:10:38+00:00,1447338814733758470,Facebook Whistleblower Is Leftist Activist Repped By Lawyer For ‘Whistleblower’ Behind Trump Impeachment | The Daily Wire https://t.co/m7m8IHL3QJ,MDubz24
2021-10-10 23:10:10+00:00,1447338697523961856,Facebook: Nick Clegg avoids questions on whistleblower Haugen’s testimony – The Guardian https://t.co/5YVqeWw771,newsgang2
2021-10-10 23:09:43+00:00,1447338585057738756,"@ForbesCrypto @DelRayMan The heroes we need. Whistleblowers should be protected to the full extent of the law. Should accusations later become fraudulent, that's when they get prosecuted.",CashewCrypto
2021-10-10 23:09:28+00:00,1447338521816088577,@HelloRobbieRose @nytimes @ldsteinberg Knowing what the whistleblower said the evidence is probably protected by NDAs cus she literally said they have the data,Mick_Ardon
2021-10-10 23:09:16+00:00,1447338469890699266,"Pfizer ‘Fetal Cell’ Whistleblower Melissa Strickler has been TERMINATED
“You are not under any circumstances to return to work. Your termination is being processed at the current time.”                                        #ProjectVeritas #Pfizer https://t.co/msM4i4DZvW",LeishaUncut
2021-10-10 23:09:06+00:00,1447338431508406276,"In other news, new career path for Product Manager’s just opened up last week: Whistleblower PM. #FacebookFiles #facebookwhistleblower",itsravendar
2021-10-10 23:08:03+00:00,1447338166881505282,‘Chilling effect’: How whistleblower Frances Haugen unfriended Facebook - National | https://t.co/X7ZfxBjXXF https://t.co/15zZl6Gbek,jorgeleedotcom
2021-10-10 23:06:51+00:00,1447337863092133898,"When Facebook whistleblower Frances Haugen testified  before Congress, Senator Ed Markey called her a ""21st-century American hero.""

But to some of her angry former colleagues at Facebook, she's a thief guilty of ""corporate espionage.""
https://t.co/Yzc4PXYH6Y",robaeprice
